alpha,Iter_GRASP,Iter_ILS,n10m2_A,n10m2_B,n15m3_A,n15m3_B,n15m4_A,n15m4_B,n29m4_A,n29m4_B,n29m6_A,n29m6_B,n40m5_A,n40m5_B,n52m5_A,n52m5_B,n450m16_A,n500m10_A
10,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,223700.000000,0.000000,128300.000000,0.000000,0.000000,6000.000000,0.000000,98800.000000,104700.000000,1420700.000000,1517800.000000
10,2,1,0.000000,132200.000000,52500.000000,0.000000,99900.000000,0.000000,100200.000000,0.000000,0.000000,395900.000000,197700.000000,100300.000000,0.000000,236400.000000,4348000.000000,2978500.000000
10,256,8,4480.700000,4025.700000,4651.900000,4717.800000,5119.700000,5205.700000,7493.100000,9747.300000,7937.000000,7773.600000,11016.700000,9955.600000,13407.000000,12644.600000,469615.500000,565092.400000
10,256,12,4502.600000,4172.700000,4827.900000,4681.700000,5639.600000,5032.400000,6757.700000,6735.900000,7067.500000,7394.700000,11012.500000,13206.700000,14007.300000,12899.100000,471820.800000,558068.300000
10,512,8,4219.000000,3991.200000,4772.900000,4722.800000,4962.200000,4927.200000,6727.600000,6928.200000,7263.700000,7331.600000,12460.600000,11026.600000,12997.200000,13742.900000,467643.500000,561011.600000
10,500,16,4053.500000,4045.700000,4712.700000,4791.900000,5972.400000,5036.500000,7892.700000,6797.600000,7188.400000,8130.200000,13254.800000,11504.600000,14301.000000,13268.800000,474485.300000,575726.800000
10,256,14,4037.700000,4151.600000,6400.800000,5052.400000,5045.400000,5316.100000,6662.600000,7489.900000,7539.100000,7610.300000,11320.100000,11299.100000,13694.800000,12697.900000,491930.900000,566417.300000
10,256,8,4195.000000,4120.600000,4836.100000,4895.200000,4913.200000,5077.700000,6597.200000,6793.700000,7584.500000,10788.100000,11401.400000,9651.100000,12857.000000,12902.300000,475204.400000,595834.100000
10,300,4,4022.400000,4146.800000,4695.500000,4953.200000,4968.500000,5042.300000,6670.500000,6519.500000,7656.300000,7103.200000,11533.700000,9833.300000,12842.000000,11280.200000,485229.200000,563050.700000
10,300,4,4114.500000,4078.600000,4659.600000,5455.200000,5650.600000,5224.500000,7434.800000,7615.000000,7936.800000,7322.700000,10209.100000,9992.600000,12773.900000,12601.700000,482143.200000,600674.200000
10,300,4,4160.900000,4159.000000,4680.700000,4967.300000,5381.300000,5179.600000,8682.100000,6974.100000,7145.500000,7476.000000,10454.700000,9720.200000,12658.900000,13601.600000,499081.600000,573540.100000
10,300,6,4273.000000,4007.200000,4874.200000,4954.200000,5072.300000,4912.000000,6602.400000,6826.700000,8356.800000,7299.600000,11040.700000,10196.100000,16746.500000,12706.600000,487014.000000,584780.200000
10,300,6,4112.700000,5116.600000,4985.500000,4828.000000,5046.400000,6060.500000,7046.200000,6971.100000,7143.400000,7299.700000,9705.100000,11035.500000,12838.800000,12116.500000,507692.200000,578614.800000
10,256,6,4114.700000,4034.600000,4723.000000,5131.800000,4781.900000,5032.300000,6864.700000,6364.800000,8078.100000,7410.900000,13239.900000,10295.400000,11886.500000,13489.400000,512880.800000,574635.100000
10,256,8,4024.700000,4287.900000,5021.400000,4874.000000,5486.500000,4987.000000,8237.400000,7415.900000,7972.200000,7539.000000,10612.000000,9868.800000,13665.700000,13349.000000,484610.600000,591298.600000
10,256,8,4145.700000,5093.700000,4843.100000,4888.200000,5152.600000,5028.300000,6757.700000,6562.200000,7351.800000,7463.800000,10822.100000,11271.200000,13577.600000,12676.800000,510955.900000,586730.000000
10,128,4,4327.200000,5093.300000,4835.100000,4724.800000,4878.300000,5014.700000,8371.400000,7258.600000,7383.800000,7140.300000,9794.800000,9866.600000,13312.900000,12286.000000,452880.300000,554629.700000
10,64,2,4727.800000,4328.100000,4887.100000,4567.500000,5251.800000,5010.200000,6797.500000,6447.200000,7220.500000,7473.000000,10449.500000,9359.300000,11692.700000,10840.400000,488699.200000,580112.500000
10,64,4,4863.300000,4119.700000,5147.600000,4863.300000,5268.900000,4971.400000,6701.800000,7601.400000,7355.800000,8069.800000,10394.400000,9715.400000,11717.000000,12123.800000,465442.700000,542409.700000
10,64,4,4352.800000,4090.700000,5112.800000,5078.600000,5214.700000,5078.900000,6793.700000,6848.100000,8237.600000,7380.700000,10418.400000,9599.000000,12098.500000,11757.000000,460035.700000,538705.900000
10,128,4,4165.600000,4106.700000,4773.900000,4625.800000,5382.900000,5051.400000,7135.400000,6363.900000,6795.700000,9092.800000,10326.300000,10501.700000,13472.200000,11503.700000,456978.700000,560317.600000
10,512,8,4365.400000,4189.700000,4753.900000,4738.000000,4973.200000,5057.500000,10525.700000,6549.200000,7089.300000,7189.600000,10907.400000,10764.200000,12393.200000,13433.100000,468537.300000,590783.200000
10,512,8,4125.500000,4419.300000,5030.400000,4886.000000,5057.500000,5088.400000,7262.700000,7730.600000,8198.300000,7876.700000,11261.100000,10215.100000,14076.200000,14427.100000,499649.700000,576288.400000
10,512,8,4100.700000,4280.100000,5030.300000,4895.000000,5076.700000,5421.200000,8827.600000,7255.600000,7282.600000,7454.100000,10894.300000,10678.100000,11809.200000,11834.200000,475066.600000,579373.900000
10,350,4,4117.500000,4108.500000,4818.900000,4693.800000,5136.600000,5257.700000,8107.300000,6941.000000,7566.600000,8793.300000,11993.600000,10545.800000,14660.500000,14338.000000,393534.900000,471698.200000
10,350,4,4191.800000,4101.600000,4718.000000,5115.500000,5986.400000,6698.600000,6898.900000,7869.700000,8215.400000,8759.700000,11107.700000,11366.100000,11751.900000,11592.800000,485975.200000,570129.900000
10,350,4,4063.500000,4028.600000,4716.800000,4794.100000,5080.300000,6308.000000,7098.200000,6513.100000,7107.300000,7263.700000,9564.900000,9414.600000,12588.600000,11082.800000,493240.400000,575878.400000
10,350,4,4183.800000,4236.000000,4832.100000,4703.800000,5018.500000,6740.800000,6488.100000,6783.800000,6981.100000,7382.800000,10467.800000,9851.500000,12205.900000,12724.800000,471508.000000,582736.200000
10,300,4,4080.800000,4071.800000,4828.900000,5014.600000,6642.400000,4968.600000,7367.900000,6673.500000,7502.000000,7358.700000,10748.300000,9709.100000,12002.100000,12169.800000,492155.600000,617027.300000
10,300,4,3998.400000,4093.600000,4754.100000,4622.500000,4954.300000,4994.400000,6816.900000,7979.000000,7443.900000,7056.300000,9776.300000,9429.600000,12099.900000,11621.900000,369696.200000,472598.900000
10,300,4,4108.800000,4206.100000,4749.800000,4712.900000,5033.200000,5150.700000,6955.900000,8841.600000,7104.200000,7254.700000,10477.500000,10890.500000,12934.400000,12637.700000,487555.900000,592189.900000
10,256,4,4274.000000,4003.300000,4685.600000,4647.700000,6434.200000,5079.600000,6746.500000,8019.100000,7582.400000,6957.000000,9870.300000,10063.800000,11569.600000,12094.600000,480788.200000,577593.600000
10,256,4,4092.500000,4389.300000,4759.900000,4747.900000,5108.500000,5092.500000,6908.800000,6976.000000,6934.000000,7021.200000,9504.000000,9733.400000,11842.100000,11473.500000,491382.200000,581649.400000
10,256,4,4037.400000,4124.700000,4987.500000,5544.500000,5000.400000,5070.400000,7516.400000,6881.900000,8659.100000,8128.200000,10738.100000,10098.100000,12226.800000,11260.000000,545754.900000,609729.800000
1,350,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2533000.000000,0.000000,0.000000,0.000000,0.000000
1,350,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,512,8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2548000.000000
1,512,8,0.000000,1784000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1000000.000000
1,512,8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,999000.000000,999000.000000
1,512,8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2198000.000000,1031000.000000
1,512,16,0.000000,0.000000,0.000000,0.000000,999000.000000,0.000000,0.000000,0.000000,0.000000,985000.000000,1023000.000000,0.000000,0.000000,0.000000,11924000.000000,1535000.000000
1,512,16,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1942000.000000,0.000000
1,256,32,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,508000.000000,2000000.000000
1,300,30,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,511000.000000,0.000000,0.000000,0.000000,1750000.000000,1030000.000000
1,1024,16,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1517000.000000,0.000000,0.000000,0.000000,1016000.000000,1972000.000000
1,1024,8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3529000.000000,1998000.000000
1,1024,16,0.000000,0.000000,0.000000,531000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3520000.000000,3001000.000000
1,256,8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1008000.000000,1994000.000000
1,512,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2040000.000000,1953000.000000
1,500,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1084000.000000,0.000000,0.000000,3734000.000000,1037000.000000
1,128,16,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1411000.000000,1633000.000000
1,128,32,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1085000.000000
1,256,8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,300,12,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,100,50,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3743000.000000,0.000000
1,30,100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7516000.000000,2541000.000000
1,200,50,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,300,30,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1044000.000000,1576000.000000
