alpha,Iter_GRASP,Iter_ILS,n10m2_A,n10m2_B,n15m3_A,n15m3_B,n15m4_A,n15m4_B,n29m4_A,n29m4_B,n29m6_A,n29m6_B,n40m5_A,n40m5_B,n52m5_A,n52m5_B,n450m16_A,n500m10_A
10,1,1,0.000103,0.001362,0.000388,0.002998,0.003049,0.003134,0.003575,0.003347,0.003538,0.003772,0.004097,0.000558,0.003450,0.004476,0.072023,0.092497
10,2,1,0.006269,0.000533,0.006711,0.000478,0.004251,0.006617,0.009232,0.001559,0.007470,0.007338,0.010425,0.005892,0.012320,0.010116,0.335441,0.392764
10,256,8,0.008189,0.007602,0.015832,0.015332,0.015565,0.015995,0.049092,0.051208,0.051759,0.054855,0.097072,0.098100,0.152145,0.152247,11.270387,14.653610
10,256,12,0.011357,0.010135,0.021637,0.021150,0.021794,0.022233,0.069164,0.069131,0.072428,0.073674,0.131114,0.136534,0.214145,0.212976,15.999583,20.029533
10,512,8,0.015190,0.014977,0.030504,0.029788,0.031075,0.031590,0.097860,0.099166,0.104150,0.103656,0.193971,0.201849,0.314599,0.310678,22.434159,28.038705
10,500,16,0.024726,0.025491,0.052650,0.051839,0.054265,0.054483,0.170979,0.173776,0.185385,0.185513,0.335192,0.332538,0.529690,0.523494,39.903993,49.916109
10,256,14,0.011499,0.011919,0.024509,0.024264,0.025176,0.025330,0.080206,0.079678,0.084458,0.085784,0.157615,0.158730,0.251517,0.240912,18.219490,22.538006
10,256,8,0.007922,0.007530,0.016333,0.015108,0.015555,0.015694,0.050293,0.049656,0.054089,0.051832,0.100531,0.096088,0.155441,0.151752,11.237251,14.102646
10,300,4,0.005528,0.005526,0.010864,0.010957,0.011020,0.010992,0.034095,0.034888,0.035800,0.035268,0.071500,0.072869,0.111959,0.108467,7.591650,9.443505
10,300,4,0.005662,0.005546,0.011499,0.012647,0.013006,0.011885,0.036492,0.037461,0.036908,0.035331,0.067473,0.069830,0.109119,0.107580,7.455577,9.401046
