alpha,Iter_GRASP,Iter_ILS,n10m2_A,n10m2_B,n15m3_A,n15m3_B,n15m4_A,n15m4_B,n29m4_A,n29m4_B,n29m6_A,n29m6_B,n40m5_A,n40m5_B,n52m5_A,n52m5_B,n450m16_A,n500m10_A
10,1,1,763.000000,781.200000,1176.000000,1434.000000,870.000000,956.000000,1943.000000,2475.000000,1669.600000,1470.000000,594.000000,719.000000,8814.400000,11195.000000,9042.800000,7706.400000
10,2,1,846.000000,738.000000,1068.000000,1465.000000,1054.800000,1039.000000,1716.400000,1905.000000,2200.000000,1471.400000,548.000000,649.600000,9643.000000,10567.000000,8811.500000,7510.900000
10,256,8,1093.000000,841.000000,1588.000000,1295.000000,1002.000000,1043.000000,1690.500000,1929.000000,1383.700000,1701.400000,574.000000,921.000000,7573.800000,8860.800000,8538.100000,7676.100000
10,256,12,997.000000,729.400000,1160.000000,1150.000000,805.000000,822.000000,2026.800000,1946.400000,1517.000000,1351.000000,657.800000,803.800000,8871.400000,8593.500000,8164.700000,7792.600000
10,512,8,780.000000,975.800000,1255.000000,1355.000000,1018.000000,1129.600000,1929.000000,1745.800000,1535.500000,1270.500000,668.300000,906.900000,9456.800000,8545.500000,8605.800000,7641.300000
10,500,16,839.400000,704.000000,1496.000000,1600.800000,849.000000,1092.400000,1729.700000,1753.000000,1396.000000,1505.800000,665.400000,844.600000,8060.600000,8151.400000,8663.100000,7278.900000
10,256,14,775.000000,892.000000,1298.000000,1432.500000,927.000000,959.000000,1846.000000,1843.400000,1341.100000,1335.000000,491.500000,776.000000,9132.000000,10789.200000,8588.100000,8143.100000
10,256,8,803.000000,807.000000,2110.000000,1318.000000,933.000000,1216.000000,1994.000000,1901.000000,1456.800000,1488.000000,559.600000,758.100000,9615.400000,8543.200000,8626.800000,7615.700000
10,300,4,1127.000000,900.000000,1363.000000,1390.000000,1086.000000,1131.000000,1763.000000,2177.900000,1305.000000,1370.000000,644.200000,866.300000,7808.800000,7891.800000,8287.500000,7717.700000
10,300,4,973.000000,957.000000,1366.000000,1718.000000,1161.300000,1081.000000,2057.000000,2041.000000,1618.400000,1731.000000,534.000000,597.000000,9200.400000,8944.600000,9022.400000,7433.400000
10,300,4,780.000000,704.000000,1100.000000,1237.000000,1580.000000,1122.000000,1873.000000,1852.000000,1630.000000,1468.000000,712.000000,758.000000,11208.200000,9028.400000,8418.100000,7756.400000
10,300,6,780.000000,1043.000000,1252.600000,1400.000000,928.000000,996.000000,2171.000000,2133.000000,1768.000000,1209.800000,580.200000,665.600000,9309.500000,8204.700000,8182.400000,7846.200000
10,300,6,926.000000,903.000000,1443.800000,1155.000000,980.000000,1420.000000,1641.000000,2180.000000,1579.000000,1519.000000,568.400000,840.400000,9750.000000,8910.200000,8473.900000,7785.400000
10,256,6,942.000000,816.000000,1351.000000,1470.000000,966.200000,1031.000000,1892.000000,1708.000000,1435.700000,1271.000000,540.800000,838.000000,10354.500000,10043.600000,8856.100000,7560.700000
10,256,8,803.000000,716.000000,1141.000000,1162.000000,916.200000,1202.000000,1837.000000,2078.200000,1862.000000,1592.500000,573.400000,967.200000,10268.500000,8718.600000,8438.600000,7487.800000
10,256,8,803.000000,856.000000,1878.000000,1511.000000,890.800000,1424.000000,2473.000000,1810.000000,2020.000000,1526.500000,537.500000,852.900000,8816.500000,9106.800000,9251.400000,7450.200000
10,128,4,860.000000,873.000000,1481.000000,1769.000000,1173.000000,1155.000000,2381.000000,1749.000000,1443.900000,1349.000000,506.000000,822.000000,8630.000000,10802.000000,8439.800000,7734.200000
10,64,2,779.000000,775.000000,1233.000000,1578.000000,1358.000000,1015.000000,1773.000000,1990.500000,1530.000000,1345.000000,669.000000,926.000000,10928.000000,7996.000000,8278.000000,7420.600000
10,64,4,972.600000,704.000000,1263.000000,1392.000000,870.000000,1264.000000,1579.000000,1806.000000,1535.000000,1473.000000,452.000000,711.000000,7735.000000,8074.400000,8972.600000,8269.600000
10,64,4,837.000000,791.000000,1200.000000,1295.000000,1152.000000,887.000000,1660.000000,2121.000000,1332.000000,1411.000000,590.200000,753.000000,7768.000000,8356.000000,9230.100000,7735.500000
10,128,4,778.000000,781.400000,1200.000000,1131.000000,870.000000,1257.000000,1535.000000,1805.000000,1157.000000,1335.300000,640.100000,622.000000,10094.000000,8008.200000,8565.500000,7543.800000
10,512,8,1225.000000,870.000000,1367.000000,1169.800000,927.000000,1180.000000,1876.700000,2077.800000,1283.400000,1718.600000,572.300000,706.800000,10375.800000,10333.100000,9305.300000,7383.800000
10,512,8,874.000000,863.000000,1141.400000,1853.000000,927.000000,1279.500000,1892.400000,1830.000000,1611.800000,1801.000000,575.000000,709.300000,8954.000000,9778.700000,8534.000000,7479.900000
10,512,8,903.000000,709.000000,1392.000000,1239.000000,847.400000,965.000000,1965.700000,1840.500000,1645.500000,1677.400000,497.200000,943.800000,9075.200000,8750.500000,9240.100000,7401.400000
10,350,4,942.000000,777.600000,1244.000000,1147.000000,927.000000,1237.000000,1673.000000,2536.600000,1536.000000,1389.400000,648.800000,685.000000,8374.400000,8971.000000,8200.500000,7932.200000
10,350,4,1123.000000,825.000000,1620.000000,1563.000000,791.000000,1048.000000,1540.000000,1825.000000,1135.000000,1417.500000,637.000000,819.900000,8977.100000,12088.500000,8787.500000,7936.700000
10,350,4,841.000000,888.000000,1185.000000,1455.000000,830.000000,1030.000000,2292.500000,2156.000000,1198.000000,1171.000000,691.200000,646.000000,9356.800000,9278.200000,8864.400000,7419.900000
10,350,4,784.000000,863.000000,1782.000000,1295.000000,1068.000000,1240.000000,1942.000000,2613.000000,1638.000000,1618.000000,556.700000,879.000000,7714.200000,8870.000000,9276.300000,7542.600000
10,300,4,1019.000000,865.000000,1716.000000,1164.000000,1160.000000,1348.000000,1742.000000,1564.000000,1280.000000,1817.000000,508.000000,764.000000,8409.900000,9475.000000,8341.500000,7694.800000
10,300,4,795.000000,704.000000,1449.000000,1153.000000,1093.000000,1036.900000,1701.000000,2335.000000,1715.900000,1302.000000,684.400000,915.000000,9171.000000,9306.400000,9211.000000,7547.700000
10,300,4,808.000000,704.000000,1434.000000,1308.000000,977.500000,1094.000000,1780.000000,2011.000000,1275.000000,1412.000000,663.800000,744.000000,9334.300000,9750.400000,9215.300000,7455.600000
10,256,4,793.000000,793.000000,1468.000000,1150.000000,847.000000,1226.000000,1810.600000,1765.000000,1555.000000,1940.000000,689.000000,849.000000,8106.100000,11333.000000,9265.500000,7778.200000
10,256,4,1139.000000,715.000000,1368.000000,1991.000000,846.200000,1290.000000,1935.000000,1881.000000,1421.200000,1325.000000,616.000000,698.800000,8377.500000,9239.400000,9057.700000,7680.700000
10,256,4,989.000000,824.000000,1036.000000,1282.000000,818.000000,1360.000000,1588.100000,1694.000000,1535.000000,1501.000000,537.900000,770.400000,8472.300000,9023.000000,8702.000000,7870.200000
1,350,4,1126.000000,893.000000,1084.000000,1059.000000,750.000000,1026.000000,1865.000000,1766.000000,1776.000000,1257.000000,601.000000,1015.000000,8924.000000,9343.000000,8227.000000,6768.000000
1,350,4,786.000000,859.000000,1239.000000,1253.000000,891.000000,910.000000,2109.000000,2157.000000,1636.000000,1542.000000,609.000000,988.000000,7983.000000,9826.000000,9857.000000,6722.000000
1,512,8,886.000000,741.000000,1279.000000,1366.000000,1001.000000,1107.000000,2200.000000,1920.000000,1173.000000,1826.000000,587.000000,885.000000,9580.000000,9220.000000,8210.000000,8162.000000
1,512,8,1034.000000,881.000000,1571.000000,1251.000000,884.000000,1291.000000,1580.000000,2093.000000,1792.000000,1648.000000,657.000000,730.000000,7833.000000,10589.000000,6689.000000,8339.000000
