exec_max,Iter_GRASP,Iter_ILS,n10m2_A,n10m2_B,n15m3_A,n15m3_B,n15m4_A,n15m4_B,n29m4_A,n29m4_B,n29m6_A,n29m6_B,n40m5_A,n40m5_B,n52m5_A,n52m5_B,n450m16_A,n500m10_A
10,1,1,0.000000,0.000000,248000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,50900.000000,204800.000000,239700.000000,101400.000000,451700.000000,352000.000000,25497200.000000,29957700.000000
10,2,1,100400.000000,99600.000000,59100.000000,143500.000000,0.000000,220200.000000,353200.000000,458100.000000,319500.000000,193700.000000,1081100.000000,1595000.000000,2132300.000000,611300.000000,57880100.000000,74219200.000000
10,256,8,5765.800000,4944.100000,6692.600000,18240.100000,14271.100000,12554.600000,21040.200000,61206.900000,26354.400000,22857.800000,118142.800000,40367.700000,156735.200000,113895.800000,7481123.000000,7556300.400000
10,256,12,7188.200000,6040.400000,7070.100000,6912.900000,7203.600000,14767.900000,33447.700000,25051.000000,31444.900000,22274.800000,64697.300000,60029.600000,135683.300000,82815.500000,7631031.400000,9145356.300000
10,512,8,8239.500000,5773.900000,9717.300000,9729.200000,7641.200000,7567.000000,23367.700000,19411.500000,31648.300000,39063.400000,58638.900000,44431.200000,116462.100000,97950.700000,5593150.600000,8150731.100000
10,500,16,5531.300000,8012.200000,8502.000000,13131.700000,7328.800000,7370.800000,25773.500000,34120.900000,21713.500000,32656.300000,67755.900000,76903.200000,126582.200000,88331.700000,6167270.900000,8242850.000000
10,256,14,4929.300000,5579.600000,13506.200000,8234.500000,12782.100000,14237.800000,37573.300000,31669.500000,30677.500000,22223.700000,62050.200000,83066.800000,70054.200000,99981.200000,6200989.300000,7759931.600000
10,256,8,12979.500000,3856.200000,8672.300000,11715.800000,7587.100000,7634.400000,21881.900000,19453.400000,27181.200000,43436.500000,53428.100000,38622.400000,139490.400000,84567.400000,5243377.800000,9131946.200000
10,300,4,3733.200000,3985.400000,6766.500000,15921.000000,7117.400000,13887.900000,19941.300000,24113.100000,35174.600000,41489.700000,48430.700000,70322.900000,95514.800000,85297.600000,6568287.400000,7753527.200000
10,300,4,4065.700000,6952.300000,6722.400000,12543.600000,8974.800000,8257.600000,22580.400000,20536.400000,27030.700000,21418.300000,71649.300000,185205.800000,74476.700000,81469.700000,6740339.700000,7468733.000000
10,300,4,9173.000000,8020.900000,9935.600000,7329.900000,7861.800000,11535.600000,34351.400000,30034.500000,21368.100000,22717.700000,46499.100000,55701.200000,100515.300000,69085.400000,5250586.400000,8031092.600000
10,300,6,7459.900000,3904.300000,12286.000000,12769.100000,8518.900000,14356.700000,32123.200000,20385.000000,24312.600000,21678.300000,45105.500000,99742.900000,62025.000000,189146.500000,6202624.100000,6733376.300000
10,300,6,3786.100000,4843.100000,8443.000000,6805.700000,7539.200000,10538.800000,19604.700000,52929.100000,41058.100000,22016.200000,60185.700000,39934.700000,56503.900000,78145.300000,4910574.100000,9677849.300000
10,256,6,3632.800000,5322.000000,10015.900000,7811.600000,19015.400000,14081.500000,31718.400000,19219.700000,22507.300000,64287.500000,56941.800000,69636.500000,74828.100000,68208.900000,5193450.400000,8575897.000000
10,256,8,4021.600000,4143.900000,8334.600000,11952.300000,10627.100000,7459.100000,22850.800000,20262.000000,34118.100000,22770.500000,46381.900000,56257.400000,74370.100000,76100.500000,7194553.100000,8949328.000000
10,256,8,6542.100000,13495.200000,16444.500000,6919.900000,7762.600000,11489.300000,22343.900000,22162.600000,21396.200000,22418.100000,46221.500000,39031.200000,91390.200000,93415.100000,6200671.500000,8045290.700000
10,128,4,4295.900000,6049.300000,8654.200000,9732.300000,7352.600000,9997.900000,23145.600000,19342.200000,21737.800000,21559.400000,54778.400000,38013.100000,98283.800000,68724.600000,6180297.000000,6002406.300000
10,64,2,4831.100000,15188.700000,7288.700000,6691.200000,7994.900000,17429.800000,18970.700000,23040.000000,22154.600000,24331.500000,35291.100000,70028.000000,53596.400000,63259.300000,4879142.600000,7086546.700000
10,64,4,9111.200000,7161.200000,8070.200000,10142.900000,8362.400000,8701.400000,28434.200000,19778.000000,21678.500000,22067.300000,80446.700000,40799.400000,87463.800000,77491.200000,7726295.600000,6969992.800000
10,64,4,4415.300000,5011.300000,14313.800000,13435.200000,7461.000000,10286.400000,74606.800000,19322.100000,24045.000000,22526.300000,44196.700000,34791.200000,83996.500000,87339.700000,5926417.400000,6383677.000000
10,128,4,4031.500000,5634.600000,23312.600000,12833.800000,8582.100000,7450.900000,23238.500000,24907.500000,39039.200000,35199.800000,59903.900000,43225.700000,120700.200000,57654.000000,5359265.900000,10969214.800000
10,512,8,4194.900000,5965.300000,6741.700000,9117.100000,7343.600000,10517.700000,19935.300000,23068.300000,25211.100000,21538.300000,39395.800000,64019.900000,201841.100000,110684.200000,6464294.500000,8161079.500000
10,512,8,6660.500000,6702.500000,12296.900000,8506.900000,7553.300000,13882.000000,52075.800000,97557.700000,27226.000000,24408.900000,117841.500000,53479.100000,100003.400000,123581.600000,5455338.900000,8788638.900000
10,512,8,4095.000000,6675.500000,10278.500000,7065.100000,8918.700000,7956.000000,33815.300000,35032.500000,31768.300000,22928.000000,46629.300000,54721.400000,99137.400000,134967.600000,6409912.900000,7641755.400000
10,350,4,6248.600000,7591.200000,7304.700000,7224.500000,13870.800000,9009.000000,33671.200000,23398.800000,23029.300000,39525.100000,61998.200000,40296.300000,124147.300000,79694.100000,5748150.500000,7123577.100000
10,350,4,5884.100000,5364.000000,6929.900000,9878.300000,10376.400000,11059.500000,31183.400000,24681.500000,36806.000000,30837.800000,49045.100000,99569.500000,56807.300000,65165.000000,7663469.400000,10482632.200000
10,350,4,7918.800000,5928.100000,13277.900000,7451.900000,19031.600000,9566.900000,28416.200000,28779.800000,20948.200000,40967.800000,40739.600000,107202.900000,62219.300000,62158.300000,7913614.700000,7388876.100000
10,350,4,5119.500000,5235.700000,6539.200000,6690.700000,7304.200000,15242.800000,32805.200000,67306.100000,35334.200000,25094.100000,61549.200000,45987.100000,154186.700000,65598.800000,5531565.400000,6775400.300000
10,300,4,4114.100000,3621.700000,7487.900000,16995.700000,8806.400000,7386.800000,21461.200000,45381.900000,30139.400000,21298.900000,48842.700000,36411.200000,79485.900000,55126.300000,6175708.400000,9590813.100000
10,300,4,8042.200000,6791.700000,8888.600000,17915.400000,7490.900000,7404.000000,30331.700000,19226.700000,21710.800000,21507.400000,53388.100000,71696.500000,57795.200000,87011.000000,6549521.800000,10748875.800000
10,300,4,6799.600000,4001.400000,8443.800000,6740.500000,16720.100000,13394.100000,28000.400000,31490.700000,33218.500000,21941.000000,38494.100000,115325.100000,60915.900000,86389.600000,5672958.000000,7839520.200000
