exec_max,Iter_GRASP,Iter_ILS,n10m2_A,n10m2_B,n15m3_A,n15m3_B,n15m4_A,n15m4_B,n29m4_A,n29m4_B,n29m6_A,n29m6_B,n40m5_A,n40m5_B,n52m5_A,n52m5_B,n450m16_A.txt,n500m10_A
1,0,0,1247.000000,741.000000,1813.000000,1257.000000,951.000000,1653.000000,2333.000000,2306.000000,2000.000000,1613.000000,655.000000,922.000000,10375.000000,8776.000000,9999,9999
5,0,0,917.000000,755.000000,1480.000000,1790.800000,926.000000,1003.000000,2316.000000,1796.000000,1498.000000,1198.000000,638.800000,989.000000,8627.400000,9578.000000,9411.200000,7372.000000
10,0,0,952.000000,870.000000,1440.000000,1240.600000,1079.000000,1212.200000,1956.500000,2458.500000,1678.000000,1640.700000,600.600000,834.000000,9796.700000,10240.200000,9999,9999
10,0,0,1148.000000,1035.000000,1222.200000,1206.000000,958.400000,1232.500000,1980.400000,1903.200000,1339.200000,1393.500000,567.300000,845.900000,9372.600000,9344.900000,8874.300000,7435.900000
10,0,0,820.000000,968.000000,1360.000000,1392.700000,1136.000000,961.000000,2365.900000,2121.600000,1925.000000,1841.300000,615.000000,941.000000,9509.900000,9475.900000,9999,9999
10,0,0,820.000000,942.000000,1267.600000,1319.000000,1405.600000,1475.000000,2245.800000,2000.000000,1765.400000,1581.600000,624.800000,951.400000,9250.700000,9126.000000,9999,9999
10,0,0,1036.000000,755.000000,1175.300000,1227.200000,934.000000,1166.600000,2082.200000,2129.300000,1830.000000,1478.200000,624.600000,806.600000,9396.100000,9911.400000,9999,9999
10,0,0,997.000000,851.000000,1272.500000,1708.000000,1004.000000,1398.000000,1798.300000,2354.200000,1544.500000,1404.000000,681.400000,689.200000,10491.800000,9622.500000,9999,9999
10,0,0,1115.000000,1158.000000,1439.400000,1506.400000,1233.000000,1151.200000,1713.200000,2023.400000,1436.400000,1729.600000,614.700000,831.100000,9616.200000,9623.800000,9999,9999
10,0,0,824.000000,983.400000,1055.000000,1443.000000,1347.000000,982.000000,1887.600000,2103.300000,1375.400000,1564.900000,592.200000,928.300000,8996.400000,8729.100000,9999,9999
10,0,0,1059.000000,731.000000,1845.000000,1672.000000,1095.000000,1107.000000,2152.300000,2599.500000,1683.900000,1806.000000,541.900000,828.000000,9560.200000,8933.600000,9999,9999
10,0,0,879.200000,1016.000000,1333.500000,1399.000000,1260.000000,1137.500000,1780.300000,2010.800000,1624.100000,1430.300000,659.000000,798.800000,9580.100000,9433.300000,9999,9999
10,0,0,931.000000,997.000000,1656.000000,1450.600000,994.000000,1184.000000,2193.800000,2139.400000,1839.000000,1591.800000,659.000000,831.300000,9278.300000,9137.300000,9999,9999
10,0,0,954.000000,867.000000,2098.600000,1779.000000,1082.800000,1087.000000,1866.400000,2048.000000,1361.100000,1279.000000,645.700000,818.700000,9006.200000,9992.100000,9999,9999
100,0,0,929.480000,1001.240000,1678.890000,1410.030000,1190.540000,1118.770000,1944.770000,2169.470000,1589.370000,1607.190000,670.060000,802.940000,9505.420000,9377.230000,9999,9999
100,0,0,1029.380000,941.080000,1558.290000,1401.940000,1015.150000,1335.170000,2025.500000,2072.690000,1633.450000,1591.460000,651.680000,847.110000,9737.470000,9675.630000,9999,9999
100,0,0,1005.210000,852.720000,1768.850000,1458.470000,984.610000,1177.500000,2006.770000,2205.130000,1627.310000,1607.760000,632.990000,841.050000,9356.600000,9277.750000,9999,9999
100,0,0,1055.160000,813.460000,1383.860000,1570.910000,1100.210000,1232.390000,2069.730000,2029.230000,1591.120000,1654.620000,662.550000,809.350000,9597.610000,9072.190000,9999,9999
200,0,0,934.435000,826.870000,1396.060000,1368.505000,1014.945000,1168.600000,2004.345000,2094.985000,1536.255000,1562.715000,625.540000,846.875000,9816.710000,9427.455000,9999,9999
200,0,0,966.490000,904.575000,1557.375000,1528.065000,1023.275000,1248.745000,2040.020000,2151.460000,1583.885000,1590.555000,620.410000,838.535000,9455.480000,9393.340000,9999,9999
10,0,0,808.000000,977.000000,1209.300000,1444.000000,1260.600000,948.000000,1818.600000,2419.500000,1252.500000,1506.000000,640.100000,907.600000,10111.500000,9016.300000,9195.400000,8042.000000
