exec_max,Iter_GRASP,Iter_ILS,n10m2_A,n10m2_B,n15m3_A,n15m3_B,n15m4_A,n15m4_B,n29m4_A,n29m4_B,n29m6_A,n29m6_B,n40m5_A,n40m5_B,n52m5_A,n52m5_B,n450m16_A.txt,n500m10_A
1,3,2,1060.000000,741.000000,1218.000000,1189.000000,951.000000,970.000000,1597.000000,1861.000000,1356.000000,1488.000000,555.000000,719.000000,8813.000000,8193.000000,9999,9999
5,8,4,780.000000,696.000000,1222.000000,1105.000000,886.000000,838.000000,1590.000000,1796.000000,1210.000000,1198.000000,430.000000,647.000000,7480.000000,8563.000000,7341.000000,6552.200000
10,16,4,788.000000,704.000000,1078.000000,1113.300000,813.000000,902.000000,1497.000000,1646.000000,1442.000000,1238.000000,536.300000,626.000000,7448.600000,7415.000000,9999,9999
10,32,4,775.000000,704.000000,1099.000000,1082.000000,858.600000,822.000000,1484.400000,1663.400000,1290.800000,1226.000000,506.000000,584.100000,7180.000000,6849.000000,6700.100000,6495.200000
10,32,8,798.000000,704.000000,1062.000000,1082.000000,870.000000,914.000000,1563.000000,1580.000000,1239.000000,1122.000000,486.000000,627.100000,7222.000000,7034.000000,9999,9999
10,64,4,763.000000,696.000000,1131.000000,1075.000000,795.000000,822.000000,1448.000000,1590.000000,1128.000000,1293.000000,440.000000,626.000000,6752.000000,6822.000000,9999,9999
10,64,8,763.000000,696.000000,1057.000000,1095.000000,731.000000,822.000000,1411.000000,1499.000000,1162.000000,1123.000000,467.000000,578.000000,6969.000000,7062.000000,9999,9999
10,64,1,763.000000,696.000000,1034.000000,1131.000000,731.000000,822.000000,1508.000000,1627.000000,1204.000000,1207.000000,476.000000,616.500000,6969.000000,6869.000000,9999,9999
10,128,4,763.000000,696.000000,1034.000000,1059.000000,731.000000,822.000000,1499.000000,1607.000000,1112.000000,1148.000000,467.000000,615.000000,7171.000000,7122.800000,9999,9999
10,64,4,763.000000,696.000000,1055.000000,1075.000000,731.000000,822.000000,1499.000000,1610.000000,1067.000000,1148.000000,476.000000,622.200000,7345.700000,7140.000000,9999,9999
10,64,4,763.000000,696.000000,1123.000000,1113.000000,810.000000,822.000000,1470.000000,1586.000000,1190.000000,1148.000000,473.000000,584.000000,7170.000000,7288.000000,9999,9999
10,64,16,763.000000,696.000000,1040.000000,1083.300000,750.000000,801.000000,1522.000000,1543.000000,1109.000000,1163.000000,471.000000,635.000000,7041.000000,6964.000000,9999,9999
10,80,8,764.600000,696.000000,1038.000000,1077.000000,795.000000,801.000000,1573.000000,1539.000000,1095.000000,1170.600000,459.000000,573.000000,6954.700000,6990.000000,9999,9999
10,80,8,763.000000,696.000000,1049.000000,1076.000000,731.000000,822.000000,1483.000000,1592.400000,1155.000000,1175.400000,476.000000,606.000000,6877.000000,7242.000000,9999,9999
100,64,4,763.000000,696.000000,1058.000000,1078.000000,744.000000,801.000000,1555.000000,1595.000000,1050.000000,1222.400000,476.810000,607.520000,6825.000000,7097.690000,9999,9999
100,64,8,765.000000,696.000000,1066.400000,1105.000000,731.000000,902.000000,1465.800000,1572.940000,1125.000000,1143.700000,450.000000,605.460000,6864.680000,7311.500000,9999,9999
100,32,4,763.000000,704.000000,1078.630000,1131.270000,812.490000,822.000000,1618.000000,1658.060000,1186.640000,1274.810000,481.850000,609.380000,6963.450000,7186.970000,9999,9999
100,32,8,774.000000,699.000000,1097.740000,1158.000000,795.000000,801.000000,1535.450000,1659.000000,1184.350000,1230.270000,469.130000,596.360000,7548.210000,7042.710000,9999,9999
200,64,4,763.000000,696.000000,1046.000000,1113.000000,744.195000,827.000000,1476.000000,1708.380000,1139.270000,1193.400000,455.390000,623.470000,6921.745000,7244.120000,9999,9999
200,64,8,763.000000,696.000000,1097.500000,1076.230000,808.500000,822.000000,1537.755000,1634.625000,1146.600000,1163.310000,458.260000,620.950000,7024.820000,7166.770000,9999,9999
10,64,4,775.000000,696.000000,1054.000000,1076.000000,795.000000,822.000000,1504.000000,1616.300000,1155.900000,1256.000000,436.000000,596.000000,6989.200000,7279.300000,6564.300000,6475.800000
