exec_max,Iter_GRASP,Iter_ILS,n10m2_A,n10m2_B,n15m3_A,n15m3_B,n15m4_A,n15m4_B,n29m4_A,n29m4_B,n29m6_A,n29m6_B,n40m5_A,n40m5_B,n52m5_A,n52m5_B,n450m16_A.txt,n500m10_A
1,3,2,0.003977,0.000000,0.005596,0.006069,0.004005,0.005626,0.012650,0.012031,0.021676,0.008071,0.024002,0.024160,0.033931,0.036196,9999,9999
5,8,4,0.007145,0.013178,0.018017,0.018778,0.016230,0.015558,0.061239,0.035637,0.047259,0.031013,0.118062,0.078883,0.126460,0.127378,10.288483,11.344789
10,16,4,0.008663,0.016561,0.021257,0.023490,0.024112,0.028939,0.074713,0.085912,0.087692,0.076468,0.145512,0.162800,0.260618,0.284789,9999,9999
10,32,4,0.027951,0.028276,0.041226,0.038207,0.036773,0.045806,0.142908,0.151440,0.136709,0.152425,0.321618,0.331294,0.529040,0.549717,38.651619,33.511684
10,32,8,0.013944,0.016616,0.028663,0.033602,0.037562,0.025881,0.131153,0.119872,0.106494,0.113504,0.229658,0.272253,0.430210,0.384629,9999,9999
10,64,4,0.018519,0.023281,0.035821,0.041150,0.042962,0.038785,0.133587,0.130020,0.122192,0.119903,0.258696,0.243028,0.436002,0.428313,9999,9999
10,64,8,0.025315,0.020875,0.054850,0.059291,0.057359,0.055663,0.217633,0.215563,0.200843,0.196787,0.420575,0.422762,0.753959,0.714735,9999,9999
10,64,1,0.007651,0.015335,0.025716,0.025345,0.023083,0.021276,0.071561,0.064346,0.061688,0.054224,0.127805,0.124561,0.202751,0.180472,9999,9999
10,128,4,0.025912,0.031380,0.057693,0.064667,0.058607,0.071156,0.246689,0.243833,0.254350,0.240027,0.476256,0.510110,0.834975,0.859318,9999,9999
10,64,4,0.020096,0.017405,0.027962,0.038426,0.042802,0.031245,0.125954,0.121124,0.116927,0.126340,0.230092,0.284979,0.431596,0.450214,9999,9999
10,64,4,0.024941,0.014112,0.037172,0.034841,0.037667,0.031273,0.128649,0.128418,0.136192,0.124770,0.262740,0.266991,0.475975,0.427934,9999,9999
10,64,16,0.039096,0.045786,0.090822,0.087856,0.091095,0.089104,0.349637,0.360389,0.355965,0.347408,0.733118,0.834100,1.328710,1.276359,9999,9999
10,80,8,0.025563,0.031345,0.066415,0.072514,0.070801,0.064416,0.257288,0.242829,0.241686,0.242333,0.501047,0.533809,0.974058,0.882133,9999,9999
10,80,8,0.031341,0.032034,0.088325,0.061320,0.069998,0.069085,0.259614,0.270807,0.270267,0.237002,0.516743,0.537212,0.921626,0.849292,9999,9999
100,64,4,0.015930,0.021230,0.039993,0.034585,0.041521,0.031099,0.120933,0.122616,0.121941,0.125142,0.263381,0.259156,0.450519,0.447119,9999,9999
100,64,8,0.031464,0.030837,0.059035,0.053710,0.058314,0.057309,0.213776,0.206220,0.202967,0.206089,0.437092,0.449266,0.770152,0.737025,9999,9999
100,32,4,0.011304,0.013593,0.021607,0.019840,0.018268,0.017436,0.058067,0.070183,0.061012,0.061346,0.130937,0.139565,0.239939,0.228535,9999,9999
100,32,8,0.014419,0.016252,0.029449,0.029037,0.030988,0.027176,0.114239,0.102083,0.103535,0.100790,0.229992,0.228249,0.374887,0.365553,9999,9999
200,64,4,0.021250,0.014371,0.036347,0.036453,0.033554,0.034164,0.135439,0.126013,0.119427,0.116500,0.260758,0.261308,0.434739,0.446123,9999,9999
200,64,8,0.022491,0.022026,0.053777,0.055318,0.051940,0.058560,0.210549,0.203211,0.209156,0.198549,0.429900,0.432050,0.730224,0.699749,9999,9999
10,64,4,0.016551,0.016383,0.034778,0.041998,0.038959,0.030229,0.115101,0.123170,0.112840,0.118646,0.246743,0.252560,0.436165,0.427689,29.347648,36.650103
1,1,1,0.000126,0.000180,0.000479,0.000161,0.000224,0.000351,0.000958,0.001420,0.000789,0.001157,0.000900,0.001661,0.005448,0.002998,0.136314,0.135052
10,64,4,0.010259,0.009228,0.024251,0.022425,0.021167,0.021814,0.087480,0.090357,0.087696,0.083785,0.180134,0.181930,0.322610,0.313352,9999,9999
10,256,4,0.039767,0.037471,0.089840,0.087285,0.083394,0.088699,0.358678,0.357894,0.342843,0.341749,0.700033,0.768381,1.301280,1.231062,9999,9999
10,256,8,0.005943,0.005441,0.012364,0.012534,0.012360,0.012665,0.048015,0.048635,0.047698,0.048679,0.092485,0.098712,0.164557,0.160037,9999,9999
10,256,8,0.005879,0.005415,0.012725,0.012621,0.012821,0.013506,0.047822,0.049458,0.048709,0.048684,0.093938,0.102748,0.170501,0.161822,9999,9999
10,64,4,0.001153,0.001191,0.002418,0.001997,0.002106,0.002059,0.007259,0.007711,0.007446,0.007445,0.014750,0.016506,0.025372,0.024436,1.807085,2.418040
10,256,8,0.005513,0.005411,0.012346,0.012485,0.012548,0.012542,0.047081,0.048237,0.047636,0.047950,0.095129,0.098522,0.163662,0.162879,13.095041,17.811852
